Fri Sep 23 09:06:36 2022 | SERVER << socket-76:Who
Fri Sep 23 09:06:36 2022 | SERVER >> socket-76:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 09:06:36 2022 | SERVER >> socket-76:test line
Fri Sep 23 09:06:37 2022 | SERVER << socket-76:Who
Fri Sep 23 09:06:37 2022 | SERVER >> socket-76:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 09:06:37 2022 | SERVER >> socket-76:test line
Fri Sep 23 09:06:37 2022 | SERVER-DISCONNECT [socket-76]
Fri Sep 23 09:06:53 2022 | SERVER-CONNECT [socket-240]
Fri Sep 23 09:06:54 2022 | SERVER << socket-240:Who
Fri Sep 23 09:06:54 2022 | SERVER >> socket-240:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 09:06:54 2022 | SERVER >> socket-240:test line
Fri Sep 23 09:06:54 2022 | SERVER << socket-240:Who
Fri Sep 23 09:06:54 2022 | SERVER >> socket-240:Flakey Roman k-23, var 18. Контексний пошук у файлі(ах).
Fri Sep 23 09:06:54 2022 | SERVER >> socket-240:test line
Fri Sep 23 09:06:54 2022 | SERVER-DISCONNECT [socket-240]
